time,V(1),V(2),V(3),V(gate),I(C1),I(D1),I(L1),I(Rload),I(S1),I(Vgate),I(Vin),L1:flux,source_file,step,I(R1)
4.158459188789977e-07,12.0,0.0049174344,23.995842,5.0,-0.9998267,-1.023991e-09,0.49174348,0.9998267,-0.49174348,0.0,-0.49174348,4.9174228e-06,morecomplex,0,
4.2584591887899773e-07,12.0,0.00503738,23.995743,5.0,-0.99982256,-1.0239907e-09,0.503738,0.99982256,-0.503738,0.0,-0.503738,5.037368e-06,morecomplex,0,
4.3584591887899774e-07,12.0,0.005157324,23.995642,5.0,-0.99981844,-1.0239906e-09,0.5157324,0.9998184,-0.5157324,0.0,-0.5157324,5.157312e-06,morecomplex,0,
4.4584591887899775e-07,12.0,0.0052772663,23.995543,5.0,-0.9998143,-1.0239902e-09,0.52772665,0.9998143,-0.52772665,0.0,-0.52772665,5.2772543e-06,morecomplex,0,
4.5584591887899776e-07,12.0,0.0053972076,23.995441,5.0,-0.9998101,-1.02399e-09,0.5397208,0.9998101,-0.5397208,0.0,-0.5397208,5.3971958e-06,morecomplex,0,
4.6584591887899777e-07,12.0,0.0055171475,23.995342,5.0,-0.9998059,-1.0239898e-09,0.5517148,0.9998059,-0.5517148,0.0,-0.5517148,5.517136e-06,morecomplex,0,
4.758459188789978e-07,12.0,0.0056370865,23.995241,5.0,-0.99980175,-1.0239896e-09,0.5637086,0.99980175,-0.56370866,0.0,-0.5637086,5.6370745e-06,morecomplex,0,
4.858459188789977e-07,12.0,0.0057570236,23.995142,5.0,-0.9997976,-1.0239894e-09,0.57570237,0.9997976,-0.57570237,0.0,-0.57570237,5.757012e-06,morecomplex,0,
4.958459188789977e-07,12.0,0.00587696,23.995043,5.0,-0.9997934,-1.0239892e-09,0.58769596,0.9997934,-0.58769596,0.0,-0.58769596,5.876948e-06,morecomplex,0,
5.058459188789978e-07,12.0,0.0059968946,23.994942,5.0,-0.99978924,-1.023989e-09,0.5996894,0.99978924,-0.5996894,0.0,-0.5996894,5.9968825e-06,morecomplex,0,
5.158459188789978e-07,12.0,0.006116828,23.994843,5.0,-0.99978507,-1.0239888e-09,0.6116828,0.99978507,-0.6116828,0.0,-0.6116828,6.1168157e-06,morecomplex,0,
5.258459188789978e-07,12.0,0.00623676,23.994741,5.0,-0.9997809,-1.0239884e-09,0.623676,0.9997809,-0.623676,0.0,-0.623676,6.2367476e-06,morecomplex,0,
5.358459188789978e-07,12.0,0.0063566905,23.994642,5.0,-0.9997768,-1.0239882e-09,0.63566905,0.9997768,-0.63566905,0.0,-0.63566905,6.3566786e-06,morecomplex,0,
5.458459188789978e-07,12.0,0.0064766197,23.994543,5.0,-0.9997726,-1.0239881e-09,0.647662,0.9997726,-0.647662,0.0,-0.647662,6.476608e-06,morecomplex,0,
5.558459188789978e-07,12.0,0.006596548,23.994442,5.0,-0.99976844,-1.0239878e-09,0.6596548,0.99976844,-0.6596548,0.0,-0.6596548,6.596536e-06,morecomplex,0,
5.658459188789978e-07,12.0,0.006716475,23.994343,5.0,-0.99976426,-1.0239877e-09,0.6716475,0.99976426,-0.6716475,0.0,-0.6716475,6.716463e-06,morecomplex,0,
5.758459188789978e-07,12.0,0.0068364004,23.994242,5.0,-0.9997601,-1.0239873e-09,0.68364,0.9997601,-0.68364,0.0,-0.68364,6.8363884e-06,morecomplex,0,
5.858459188789978e-07,12.0,0.0069563244,23.994143,5.0,-0.9997559,-1.0239872e-09,0.69563246,0.9997559,-0.69563246,0.0,-0.69563246,6.9563125e-06,morecomplex,0,
5.958459188789978e-07,12.0,0.007076247,23.994041,5.0,-0.99975175,-1.023987e-09,0.70762473,0.99975175,-0.70762473,0.0,-0.70762473,7.0762353e-06,morecomplex,0,
6.058459188789979e-07,12.0,0.007196169,23.993942,5.0,-0.9997476,-1.0239868e-09,0.7196169,0.9997476,-0.7196169,0.0,-0.7196169,7.1961567e-06,morecomplex,0,
6.158459188789979e-07,12.0,0.007316089,23.993843,5.0,-0.9997434,-1.0239866e-09,0.73160887,0.9997434,-0.73160887,0.0,-0.73160887,7.316077e-06,morecomplex,0,
6.258459188789979e-07,12.0,0.0074360077,23.993742,5.0,-0.9997393,-1.0239862e-09,0.7436008,0.9997393,-0.7436008,0.0,-0.7436008,7.435996e-06,morecomplex,0,
6.358459188789979e-07,12.0,0.0075559253,23.993643,5.0,-0.9997351,-1.0239861e-09,0.7555925,0.9997351,-0.7555925,0.0,-0.7555925,7.5559133e-06,morecomplex,0,
6.458459188789979e-07,12.0,0.0076758415,23.993542,5.0,-0.99973094,-1.0239859e-09,0.76758415,0.99973094,-0.76758415,0.0,-0.76758415,7.67583e-06,morecomplex,0,
